"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2771767,"December 1, 2023",Alaska,Anchorage,"410 E 56th Ave",0,0,0,0,1,N/A
2767652,"November 30, 2023","North Carolina",Durham,"3218 Rose of Sharon Rd",0,0,0,0,0,N/A
2767655,"November 30, 2023","North Carolina",Lumberton,"3901 Fayetteville Rd",0,0,0,0,0,N/A
2768445,"November 30, 2023",Alabama,Greenville,"100 Tiger Dr",0,0,0,0,1,N/A
2767443,"November 30, 2023",Texas,Houston,"2507 Mona Lee Ln",1,0,1,0,0,N/A
2768756,"November 30, 2023",Mississippi,"Port Gibson","159 Old Hwy 18",0,0,0,0,1,N/A
2766991,"November 29, 2023",Florida,"Saint Petersburg","1400 54th Ave S",0,0,0,0,1,N/A
2766838,"November 29, 2023","North Carolina","Rocky Mount","1400 Bethlehem Rd",0,0,0,0,1,N/A
2785277,"November 29, 2023",Iowa,"Iowa City","1930 Lakeside Dr",0,0,0,0,1,N/A
2767177,"November 29, 2023",Kentucky,Louisville,"6415 Outer Loop",0,0,0,0,1,N/A
2766426,"November 28, 2023",Massachusetts,Boston,"215 Dorchester St",0,0,0,0,1,N/A
2765953,"November 28, 2023","North Carolina",Wadesboro,"96 Anson High School Rd",0,0,0,0,1,N/A
2771149,"November 28, 2023",Virginia,"Newport News","1 Avenue of the Arts",0,0,0,0,1,N/A
2766207,"November 28, 2023",Ohio,Columbus,"284 N 22nd St",0,0,0,0,1,N/A
2765572,"November 28, 2023",Texas,Waxahachie,"3001 US-287",0,0,0,0,0,N/A
2766840,"November 28, 2023",Washington,Richland,"450 Hanford St",0,0,0,0,1,N/A
2766835,"November 28, 2023",Washington,Kennewick,"600 N Arthur St",0,0,0,0,1,N/A
2774592,"November 27, 2023",Maryland,Baltimore,"2810 Shirley Ave",0,0,0,0,1,N/A
2765799,"November 27, 2023","South Carolina","Rock Hill","2382 Firetower Rd",0,0,0,0,1,N/A
2764980,"November 27, 2023","South Carolina",Florence,"1119 N Irby St",0,0,0,0,1,N/A
2764821,"November 27, 2023",Kansas,"Kansas City","2214 N 59 St",0,0,0,0,1,N/A
2765549,"November 27, 2023",Georgia,Lagrange,"1920 Hamilton Rd",0,0,0,0,1,N/A
2765532,"November 27, 2023",Illinois,Chicago,"339 E Chicago Ave",0,0,0,0,0,N/A
2762927,"November 21, 2023",Nevada,"Las Vegas","4291 Pennwood Ave",0,0,0,0,1,N/A
2761285,"November 21, 2023","North Carolina",Greenville,"2568 NC-33",0,0,0,0,1,N/A
2762362,"November 21, 2023",Minnesota,"Saint Paul","275 Lexington Pkwy N",0,0,0,0,1,N/A
2761194,"November 20, 2023",California,"Santa Rosa","1501 Mendocino Ave",0,0,0,0,1,N/A
3007789,"November 20, 2023",Missouri,Columbia,"1104 N Providence Rd",0,0,0,0,1,N/A
2761534,"November 18, 2023",Virginia,Dumfries,"3401 Panther Pride Dr",0,0,0,0,1,N/A
2760605,"November 18, 2023",Tennessee,Knoxville,"1300 Phillip Fulmer Way",0,0,0,0,1,N/A
2758692,"November 17, 2023",Louisiana,Lafayette,"315 Rue du Belier",0,0,0,0,1,N/A
2759551,"November 17, 2023",Maryland,Rockville,"250 Richard Montgomery Dr",0,0,0,0,0,N/A
2757004,"November 16, 2023",Minnesota,"Minneapolis (New Hope)","8230 47th Ave N",0,0,0,0,2,N/A
2757816,"November 16, 2023",Illinois,Peoria,"811 S Griswold St",0,0,0,0,1,N/A
2757461,"November 16, 2023",Tennessee,Martin,"201 Hannings Ln",0,0,0,0,0,N/A
2756405,"November 15, 2023",Kentucky,Lexington,"1600 Man O War Blvd",0,0,0,0,1,N/A
2776276,"November 15, 2023",Missouri,Clever,"103 N Public School",0,0,0,0,1,N/A
2756262,"November 15, 2023",Alabama,"Muscle Shoals","100 Trojan Dr",0,0,0,0,1,N/A
2757154,"November 15, 2023",Arizona,Phoenix,"7107 N Black Cyn Hwy",0,0,0,0,1,N/A
2756872,"November 15, 2023",Oregon,Salem,"2440 NE Lancaster Dr",0,0,0,0,1,N/A
2757496,"November 15, 2023",Ohio,"Cleveland (Shaker Heights)","15911 Aldersyde Dr",0,0,0,0,1,N/A
2757494,"November 15, 2023",Ohio,Toledo,"2200 Arlington Ave",0,0,0,0,1,N/A
2756188,"November 14, 2023","North Carolina",Washington,"400 Slatestone Rd",0,0,0,0,1,N/A
2755367,"November 14, 2023",Tennessee,Munford,"1080 McLaughlin Dr",0,0,0,0,1,N/A
2756273,"November 14, 2023",Alabama,Somerville,"100 Cotaco School Rd",0,0,0,0,0,N/A
2756112,"November 14, 2023",Michigan,"Lincoln Park","1701 Champaign Rd",0,0,0,0,1,N/A
2756292,"November 14, 2023",Illinois,Peoria,"811 S Griswold St",0,0,0,0,2,N/A
2755911,"November 14, 2023","South Carolina",Columbia,"6671 St Andrews Rd",0,0,0,0,1,N/A
2755728,"November 14, 2023",California,Redlands,"1000 W Cypress Ave",0,0,0,0,2,N/A
2755426,"November 14, 2023",Maryland,Bowie,"15200 Annapolis Rd",0,0,0,0,1,N/A
2754506,"November 13, 2023",Ohio,Massillon,"250 29th St NW",0,0,0,0,1,N/A
2754860,"November 13, 2023",Texas,Victoria,"2200 E Red River St",0,1,0,0,1,N/A
2756202,"November 13, 2023",Oregon,Medford,"1551 Cunningham Ave",0,0,0,0,0,N/A
2753938,"November 13, 2023",Texas,"Prairie View","200 block of E M Norris St",1,0,0,0,1,N/A
2754543,"November 13, 2023",Texas,Hempstead,"35753 Owens Rd",0,0,0,0,0,N/A
2754154,"November 13, 2023","New Jersey",Newark,"246 18th Ave",0,1,0,0,0,N/A
2758102,"November 11, 2023",California,"San Luis Obispo","Cal Poly Rd",0,0,0,0,2,N/A
2758232,"November 10, 2023",Oklahoma,"Broken Arrow","6501 S Garnett Rd",0,0,0,0,1,N/A
2752988,"November 10, 2023",Georgia,Commerce,"272 Lakeview Dr",0,0,0,0,1,N/A
2752204,"November 10, 2023",Tennessee,Alamo,"2556 TN-88",0,0,0,0,1,N/A
2752201,"November 10, 2023",Michigan,Wyoming,"982 Lee St SW",0,0,0,0,1,N/A
2751914,"November 10, 2023",Oklahoma,Langston,"701 Sammy Davis Jr Dr",0,2,0,0,0,N/A
2752417,"November 10, 2023",Texas,"San Antonio","400 Eagleland Dr",0,0,0,0,1,N/A
2752997,"November 10, 2023",California,Vallejo,"840 Nebraska St",0,1,0,0,0,N/A
2752833,"November 9, 2023",Alabama,Atmore,"1215 S Presley St",0,2,0,0,0,N/A
2751271,"November 9, 2023",Idaho,Boise,"1105 N 13th St",0,0,0,0,1,N/A
2751143,"November 9, 2023",Alabama,Birmingham,"1114 Oxmoor Rd",0,0,0,0,1,N/A
2762596,"November 9, 2023",Ohio,Cleveland,"1701 Castle Ave",0,0,0,0,1,N/A
2751563,"November 9, 2023",Texas,Killeen,"6000 Brushy Creek Dr",0,0,0,0,1,N/A
2752084,"November 9, 2023","North Carolina",Huntersville,"11201 Old Statesville Rd",0,0,0,0,1,N/A
2751225,"November 9, 2023",Indiana,Muncie,N/A,0,0,0,1,1,N/A
2750939,"November 8, 2023",Ohio,Reynoldsburg,"8579 Summit Rd",0,0,0,0,1,N/A
2751265,"November 8, 2023",Pennsylvania,Philadelphia,"Cecil B Moore Ave and N Broad St",0,0,0,0,0,N/A
2766494,"November 8, 2023",Georgia,Tucker,"2160 Idlewood Rd",0,0,0,0,0,N/A
2750531,"November 7, 2023",Florida,Eustis,"1300 E Washington Ave",0,0,0,0,1,N/A
2749921,"November 7, 2023",Tennessee,Lebanon,"500 Blue Devil Blvd",0,0,0,0,1,N/A
2749926,"November 7, 2023",Tennessee,Nashville,"401 Walton Ln",0,0,0,0,1,N/A
2750082,"November 7, 2023",Oklahoma,"Oklahoma City","11800 N Rockwell Ave",0,0,0,0,1,N/A
2750002,"November 7, 2023",Maryland,"Indian Head","3000 Chicamuxen Rd",0,0,0,0,1,N/A
2750851,"November 7, 2023",Virginia,Blacksburg,"723 University City Blvd",1,0,1,0,0,N/A
2751274,"November 7, 2023",Texas,Allen,"1550 Edelweiss Dr",0,0,0,0,0,N/A
2750007,"November 6, 2023","North Carolina","Cerro Gordo","7294 Andrew Jackson Hwy SW",0,0,0,0,0,N/A
2749288,"November 6, 2023",Texas,Coahoma,"500 High School Dr",0,0,0,0,0,N/A
2751637,"November 6, 2023",Nevada,"Las Vegas","7100 W Dewey Dr",0,0,0,0,1,N/A
2750216,"November 6, 2023",Arkansas,Arkadelphia,"401 High School Dr",0,0,0,0,1,N/A
2751137,"November 6, 2023",Ohio,Toledo,"701 E Central Ave",0,0,0,0,1,N/A
2749349,"November 6, 2023",Utah,Lehi,"211 W Traverse Terrace Dr",0,0,0,0,0,N/A
2749554,"November 6, 2023",Arizona,Wellton,"9168 S Ave 36 E",0,0,0,0,3,N/A
2748104,"November 5, 2023",Illinois,Glenview,"2701 Central Rd",0,0,0,0,0,N/A
2749624,"November 4, 2023","South Carolina",Orangeburg,"300 College Ave",0,0,0,0,1,N/A
2746811,"November 3, 2023",Florida,"Fort Lauderdale","2501 NW 11th St",0,0,0,0,1,N/A
2748392,"November 3, 2023",Ohio,"Dayton (Centerville)","500 E Franklin St",0,0,0,0,1,N/A
2746669,"November 3, 2023",Indiana,Indianapolis,"2255 Ralston Ave",1,0,0,0,1,N/A
2746556,"November 2, 2023",Washington,Puyallup,"105 7th St SW",0,0,0,0,1,N/A
2745940,"November 2, 2023",Maryland,"Mardela Springs","24940 Delmar Rd",0,0,0,0,1,N/A
2748460,"November 2, 2023","New Mexico","Las Cruces","1950 Sonoma Ranch Blvd",0,0,0,0,1,N/A
2746444,"November 2, 2023",Maine,"Presque Isle","33 Edgemont Dr",0,0,0,0,0,N/A
2747062,"November 2, 2023",Alabama,"Smiths Station","4228 Panther Pkwy",0,0,0,0,1,N/A
2746901,"November 2, 2023",Colorado,Denver,"7480 Broadway",0,0,0,0,1,N/A
2746884,"November 2, 2023",Louisiana,"Baton Rouge","1676 Glasgow Ave",0,0,0,0,1,N/A
2746872,"November 2, 2023",Maryland,"Mardela Springs","24940 Delmar Rd",0,0,0,0,0,N/A
2745372,"November 1, 2023",Georgia,Douglasville,"8705 Campbellton St",0,0,0,0,1,N/A
2746256,"November 1, 2023",Maryland,Rosedale,"6700 Kenwood Ave",0,0,0,0,0,N/A
2746677,"November 1, 2023","South Dakota","Rapid City","601 Columbus St",0,0,0,0,0,N/A
2745023,"November 1, 2023",Alabama,Hunstsville,"107 Sanders Rd SW",0,0,0,0,1,N/A
2744651,"October 31, 2023","North Carolina",Asheville,"60 Lees Creek Rd",0,0,0,0,1,N/A
2745260,"October 31, 2023",Wisconsin,Janesville,"3125 Mineral Point Ave",0,0,0,0,1,N/A
2744649,"October 31, 2023",Ohio,Lowellville,"52 Rocket Place",0,0,0,0,0,N/A
2745913,"October 31, 2023",Washington,Centralia,"901 Johnson Rd",0,0,0,0,0,N/A
2744180,"October 31, 2023",Texas,Keller,"250 College Ave",0,0,0,0,1,N/A
2744590,"October 30, 2023",Indiana,Fowlerton,"Kirkwood St and A St",0,0,0,0,1,N/A
2746708,"October 30, 2023","North Carolina",Raleigh,"1830 Walnut View Rd",0,0,0,0,0,N/A
2744908,"October 30, 2023",Pennsylvania,Stroudsburg,"1100 W Main St",0,0,0,0,1,N/A
2745461,"October 30, 2023",Tennessee,"Union City","1111 High School Dr",0,0,0,0,1,N/A
2744030,"October 30, 2023",Georgia,Augusta,"1339 Laney Walker Blvd",0,0,0,0,1,N/A
